country_code,country,area_code,state,GMT_offset,DST,DST_range,geographic_description,tz_code,php_tz
1,'USA','307','WY','-7','Y','SSM-FSN','Wyoming','MST','America/Denver'
1,'USA','308','NE','-6','Y','SSM-FSN','Nebraska','CST','America/Chicago'
1,'USA','309','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','310','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','312','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','313','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','314','MO','-6','Y','SSM-FSN','Missouri','CST','America/Chicago'
1,'USA','315','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','316','KS','-6','Y','SSM-FSN','Kansas','CST','America/Chicago'
1,'USA','317','IN','-5','Y','SSM-FSN','Indiana','EST','America/New_York'
1,'USA','318','LA','-6','Y','SSM-FSN','Louisiana','CST','America/Chicago'
1,'USA','319','IA','-6','Y','SSM-FSN','Iowa','CST','America/Chicago'
1,'USA','320','MN','-6','Y','SSM-FSN','Minnesota','CST','America/Chicago'
1,'USA','321','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','323','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','324','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','325','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','326','OH','-5','Y','SSM-FSN','Ohio','EST','America/New_York'
1,'USA','327','AR','-6','Y','SSM-FSN','Arkansas','CST','America/Chicago'
